ObjectID,GlobalID,SPEC_CHAR,LIN_NUM,Did you complete the associated Scouting Form?,Have you completed the associated Collection Equation Form?,COLL_ID,Collection Number,Seed Collection Reference Number,Alt. Collection Number,COLL_DT,adjusted_date,Did you collect on a second date?,SECOND_COLL_DT,Did you collect on additional days?,Date range,Collector Name(s),Taxa,NRCS PLANTS Code,outboxID,Approximate Number of Plants Found,Number of Plants Sampled,Collection Area Sampled in Acres,Seeds Collected From,Average Plant Height in Feet,Field Notes,Latitude,Longitude,Degree_long,Degree_lat,min_long,min_lat,long_sec,lat_sec,LATITUDE,LONGITUDE,GEOREF_SOURCE,GPS Datum,Elevation in feet,Subunit,Area within subunit,Location Details,State,County,Ecoregion Code,Seed Zone,Land owner,Non-BLM permission filed?,"Ecological Site Description, Habitat Type and/or National Vegetation Classification",Associated Species List,Modifying Factors,Describe other modifying factors,Land Form,Land Use,Geology,Approximate Slope in Degrees,Aspect,Soil Texture,SOIL_COLOR,Number of pressed specimens,Date voucher taken,Herbaria Receiving the Specimen,Identified by,Location of Identification,Date Identified,CreationDate,Creator,EditDate,Editor,Empirical Seed Zone,Ecoregion Name,Elevation in meters,NDA voucher collected?,NDA voucher number,Date Source ID application submitted to NDA?,adjusted_date2,x,y
4,8cc23b05-0093-459c-af37-4f8c21416548,No,,Y,Y,UT040,27,UT040-27,,6/7/2023 12:00:00 AM,6/8/2023 12:00:00 AM,N,,,,Phoenix AM;Cate Bateman,Poa secunda,POSE,UT040-27-POSE,10000,2000,5,P,1.25,Bugs present need to treat. ,38.1891669190038,-113.756817579138,113,38,45,11,24.5432848955261,21.0009084135373,38°11'21.00090841353733 N,113°45'24.543284895526085 E,Geopoint,WGS84,6602.58691177581,Cedar City FO,Sheep Creek,"From Lund UT head SW on Main St toward Mountain Spring RdTurn right onto Mountain Spring Rd and continue for 25 milesTurn left onto Cougar Spar Rd and continue for 2.3 milesTurn left onto Sheep Creek Rd and reach beginning of population in ~3 milesPopulation borders road on both E and W (creek side) side of road. Majority on E side of road, continues at least 0.25-0.5 mile down road",Utah,Beaver,13E,20 - 25 / semi-humid,BLM,,Piñon juniper encroaching on sagebrush steppe,"JUOS,ARNO4,PIMO,ERNAB2,PHHOH",Grazed,,"Hillslope,Footslope","Grazing,Multiple_Use,Rangeland,Recreation,Wildlife_Habitat",Granite,15,NW,Sandy_Loam,7.5YR 3/3,4,5/17/2023 6:00:00 PM,"US, CEDAR CITY FO, UTC, RENO","Lara Kitchen, Cedar City BLM",From_Pressed_Specimen_on_Another_Date,6/13/2023 6:00:00 PM,6/20/2023 1:20:05 PM,112phoenixmcfarlane,7/31/2023 11:20:09 PM,ksnyder14,M1L2L3,Central Basin and Range,2012,N,,,,-113.756817579138,38.1891669190038
5,e9faf4bb-ad63-4495-a1f3-bda10ce4a60a,No,,Y,Y,UT010,7,UT010-7,,6/12/2023 12:00:00 AM,6/13/2023 12:00:00 AM,Y,6/14/2023 12:00:00 AM,Y,06/20/2023,"Phoenix AM, Cate Bateman ",Balsamorhiza sagittata,BASA3,UT010-7-BASA3,30000,1770,1300,P,3,Very rocky and steep terrain. ,39.6211685530382,-112.231990418,112,39,13,37,55.1655048014152,16.2067909376321,39°37'16.20679093763215 N,112°13'55.16550480141518 E,Geopoint,WGS84,6535.86598573793,"NW of Champlin Peak,  NW Gilson Mountains",Long Canyon (Lony Cyn rd),"From Lynndyl UT, take Grand Army of the Republic Highway headed N. In 7.2 miles turn onto unmarked road headed east. In 1/4 mile turn S onto Old Highway 50. In 600 ft take a left turn onto Lony Canyon rd headed E into Long Canyon. Stay on road for 4 miles. Population mostly on right side of road, up and down hills.",Utah,Juab,13E,15 - 20 / semi-humid,BLM,,Lower foothills,"POSE,LODI,CANU3,ALAC4,TRDU",Burned,,"Ridge,Scree","Conservation,Nature_Preserve,Recreation,Wildlife_Habitat",Slate,48.7,"NE,E",Clay_Loam,10YR 3/2,4,5/23/2023 6:00:00 PM,"US, FILLMORE FO, UTC, RENO","Lara Kitchen, Cedar City BLM",From_Pressed_Specimen_on_Another_Date,6/13/2023 6:00:00 PM,6/22/2023 7:33:22 PM,112phoenixmcfarlane,7/31/2023 11:20:14 PM,ksnyder14,,Central Basin and Range,1992,N,,,,-112.231990418,39.6211685530382
6,97a5e6a6-cc0d-4f20-9fd0-2e5633e87015,No,,Y,Y,NV010,1,NV010-1,HES1,6/15/2023 12:00:00 AM,6/16/2023 12:00:00 AM,N,,,,"Sermersheim, H., Rytting, G.",Agoseris glauca,AGGL,NV010-1-AGGL,1000,100,2,P,0.5,,40.9440607427598,-115.948446685723,115,40,56,56,54.4080686028985,38.61867393534,40°56'38.618673935339984 N,115°56'54.40806860289854 E,Geopoint,WGS84,5763.8853356757,Tuscarora Field Office,Adobe Summit,From exit 301 for NV-225. Turn right onto NV-225 N for 10.9 miles. Turn left and follow dirt road for 4.6 miles. Population will be on the left,Nevada,Elko,13E,10 - 15 / semi-arid,BLM,,Sagebrush steppe,"CRAC2,ARCAB3,GUSA2,PELE8,LUAR6",None,,Flat,Grazing,,15,NW,Sandy_Loam,7.5YR 3/1,4,6/14/2023 7:00:00 PM,"Elko BLM Field Office, Smithsonian, Nevada Department of Agriculture, University of Nevada",,,,6/27/2023 12:54:20 AM,hazeyserm,7/31/2023 11:20:18 PM,ksnyder14,,Central Basin and Range,1756,Y,,,,-115.948446685723,40.9440607427598
7,047b1bd8-c48a-47b1-b679-578b15343998,No,,Y,Y,NV010,2,NV010-2,HES2,6/27/2023 12:00:00 AM,6/28/2023 12:00:00 AM,N,,,,"Sermersheim, H., Rytting, G.",Balsamorhiza sagittata,BASA3,NV010-2-BASA3,100000,600,2,P,2,Seeds succumbed to mold damage after collection prior to shipping.,40.9377817488238,-115.902675899245,115,40,54,56,9.6332372837287,16.0142957657649,40°56'16.014295765764928 N,115°54'9.633237283728704 E,GPS,WGS84,6350.43155571726,Tuscarora Field Office,Adobe summit,"From Elko, take NV-225 N for 8.7 miles. Turn left onto dirt road for 1.6 miles",Nevada,Elko,13E,15 - 20 / semi-arid,BLM,,Sagebrush steppe,"ARCAB3,ALAC4,POSE,EROV,PELE8",Grazed,,Foothills,Grazing,,24,E,Sandy_Loam,2.5YR 2.5/2,4,6/27/2023 7:00:00 PM,"Smithsonian, Elko BLM office, NDA, University of Nevada",,,,6/30/2023 3:18:27 AM,hazeyserm,7/31/2023 11:20:22 PM,ksnyder14,,Central Basin and Range,1935,Y,,,,-115.902675899245,40.9377817488238
8,7601403e-f76e-4615-9a20-c37583992698,No,,Y,Y,UT010,8,UT010-8,,6/21/2023 12:00:00 AM,6/22/2023 12:00:00 AM,Y,6/26/2023 12:00:00 AM,Y,06/27/23,"Phoenix AM, Cate Bateman ",Sphaeralcea grossulariifolia,SPGR2,UT010-8-SPGR2,400000,1307,2560,P,1.5,,39.5960857097316,-112.88909277442,112,39,53,35,20.7339879112578,45.9085550338756,39°35'45.90855503387559 N,112°53'20.733987911257827 E,Geopoint,WGS84,4722.55450756328,"W Crater Bench, E Drum Mountains",Brush Beryillum road," From Delta UT, head NW on road W 1500 N for 4.5 miles.Take a right hand turn and head N on road S 4000 W for 9 1/4 miles. Take a left hand turn onto Brush HWY headed W.Stay on road for 15 miles. Population will begin and continue for 4 miles.",Utah,Juab,13E,10 - 15 / semi-arid,BLM,,Salt desert shrubland,"BRTE,HAGL,BAAM4,PLJA,ACHY,ELEL5",None,,Flat,"Conservation,Grazing,Roadside,Transportation",Limestone,1,"S,SE",Clay,2.5Y 5/2,4,5/25/2023 6:00:00 PM,"US, FILLMORE FO, UTC, RENO","Lara Kitchen, Cedar City BLM",From_Pressed_Specimen_on_Another_Date,6/13/2023 6:00:00 PM,6/30/2023 4:02:21 PM,112phoenixmcfarlane,7/31/2023 11:20:26 PM,ksnyder14,,Central Basin and Range,1439,N,,,,-112.88909277442,39.5960857097316
9,17e44a59-a0aa-4b8b-8d10-8239b8ad1c08,No,,Y,Y,UT040,28,UT040-28,,6/28/2023 12:00:00 AM,6/29/2023 12:00:00 AM,Y,6/29/2023 12:00:00 AM,N,,"Phoenix AM, Cate Bateman",Sphaeralcea parvifolia,SPPA2,UT040-28-SPPA2,1152000,706,3840,P,3,Many seed collectors were harvesting near us. ,37.5893469467108,-113.749390286029,113,37,44,35,57.8050297028062,21.6490081589228,37°35'21.64900815892281 N,113°44'57.80502970280622 E,Geopoint,WGS84,5458.37277086811,"Enterprise, cedar city field office",North hills,"From Enterprise, UT take W Main St headed WestTurn right on N 200 W and continue, passing small rich neighborhood of new homes. Road will turn to dirt and curve right behind last house. Continue for 2-3 miles, you will start seeing population as soon as you begin on dirt road.Population is on both sides of road. Hard to miss.",Utah,Iron,13E,15 - 20 / semi-arid,BLM,,Lower elevation foothills,"BRTE,SIAL2,TACA8,PLJA,SATR12,CETE5","Burned,Seeded",,Foothills,"Conservation,Multiple_Use,Rangeland,Recreation",Igneous/sedimentary rock forms,15,NE,Clay_Loam,10YR 3/3,4,5/30/2022 6:00:00 PM,"US, CEDAR CITY FO, UTC, RENO","Lara Kitchen, Cedar City BLM",From_Pressed_Specimen_on_Another_Date,6/13/2023 6:00:00 PM,6/30/2023 4:17:33 PM,112phoenixmcfarlane,7/31/2023 11:20:30 PM,ksnyder14,,Central Basin and Range,1663,N,,,,-113.749390286029,37.5893469467108
10,4813488a-3156-4ac6-a857-ae3f08215ac0,No,,Y,Y,NV010,3,NV010-3,HES3,6/29/2023 12:00:00 AM,6/30/2023 12:00:00 AM,Y,7/10/2023 12:00:00 AM,N,,"Sermersheim, H., Rytting, G.",Balsamorhiza sagittata,BASA3,NV010-3-BASA3,30000,2000,200,P,2,,40.52462,-114.74242,114,40,44,31,32.7119999999843,28.6319999999955,40°31'28.631999999995514 N,114°44'32.7119999999843 E,Geopoint,WGS84,6968.73210979957,Wells Field Office,Spruce Mountain,"From Wells, take exit 352 for US 93, turn right onto US-93 S for 49 miles. Turn left onto BLM road for 4.4 miles. Turn left onto BLM rd 1023 for 7 miles. Population will be on right side of road.",Nevada,Elko,13E,15 - 20 / semi-humid,BLM,,Sagebrush steppe,"PELE8,ARCAB3,POSE, ACHY, HECO26",None,,Foothills,Recreation,,10,W,Loam,7.5YR 2.5/2,4,6/29/2023 7:00:00 PM,"Smithsonian, University of Nevada, NDA, Elko BLM office",,,,7/8/2023 8:03:37 PM,hazeyserm,9/7/2023 5:12:09 PM,hazeyserm,,Central Basin and Range,2124,Y,,,,-114.742370057742,40.5246358209035
11,8ec3090c-dc6f-4e73-a64b-776812503e07,No,,Y,Y,FWS0800,43,FWS0800-43,N/A,6/25/2023 12:00:00 AM,6/25/2023 7:00:00 AM,N,,,,"Sigarroa, A., Plante, S.",Allium bisceptrum,ALBI2,FWS0800-43-ALBI2,1000,50,5,P,0.5,"Plants are drying out and mostly lost their leaves and flowers, the seed heads are open and ready to drop. ",38.8207116495328,-119.618341138179,119,38,37,49,6.02809744446972,14.561938318119,38°49'14.561938318119019 N,119°37'6.028097444469722 E,Geopoint,WGS84,5942.46221486427,BLM Land,Verta Grande Mine Rd,"From Gardnerville, NV, head South on Highway 395 for 11 miles towards Verta Grande Mine Rd. Turn East (left) from Highway 395 onto Verta Grande Mine Rd. Travel ~500 feet on this road up a hill. The population is growing on the top of the hill on both sides where the road flattens out and it is barren and rocky.",Nevada,Douglas,13E,20 - 25 / semi-humid,BLM,,Sagebrush Steppe,"ELEL5,ARCAB3,PUTR2,CROCC,BRTE,JUCA7,AGCR,BLSC,CALE3,LUBR3","Burned,Invasives,Seeded",,Footslope,"Private,Multiple_Use",N/A,-5,S,Silty_Clay,10YR 4/2,3,6/25/2023 7:00:00 PM,"UNR, Smithsonian, Toiyabe National Forest Supervisor’s Office",Dean Tonenna,From_Pressed_Specimen_on_Another_Date,7/5/2023 7:00:00 PM,7/10/2023 4:10:23 PM,averymsigarroa,9/12/2023 3:37:50 PM,averymsigarroa,N/A,Central Basin and Range,1811,N,,,,-119.618341138179,38.8207116495328
12,fde0f071-07e6-45e5-a6a3-2fd90b858738,No,,Y,Y,FWS0800,44,FWS0800-44,N/A,7/3/2023 12:00:00 AM,7/3/2023 7:00:00 AM,N,,,,"A. Sigarroa, S. Plante, Heston, S., Faig, K., Barrett, J., Kulpa, S.",Achnatherum hymenoides,ACHY,FWS0800-44-ACHY,10000,2000,100,P,2,In hunting area so it is pretty disturbed. Lots of car/foot traffic and litter. Significant cheat grass.,39.5730180265816,-119.659653590498,119,39,39,34,34.7529257920178,22.8648956938122,39°34'22.864895693812173 N,119°39'34.75292579201778 E,Geopoint,WGS84,4915.3179624875,BLM Land,Pah Rah Range,"From Sparks, NV, take Vista Blvd NE towards Golden Eagle Regional Park. Turn South (right) on Home Run Dr, continue south (turn right again) on Hans Berry Rd and follow the road for 0.3 miles until intersecting with a dirt road that takes you into the Pah Rah Range. There will be a BLM sign indicating public land at the dirt road as it is a popular shooting range. Follow the dirt road through Spanish Spring Canyon for 1.8 miles. Population is growing on both sides of the dirt road, east of Canoe Hill.",Nevada,Washoe,13E,20 - 25 / semi-arid,BLM,,Sagebrush steppe,"BRTE,ELEL5,SALSO,ERNA10,TACA8","Invasives,Other,Grazed,Burned",N/A,"Canyon,Footslope","Rangeland,Multiple_Use",N/A,-8,NE,Sandy_Loam,10YR 3/2,3,6/26/2023 7:00:00 PM,"Smithsonian, UNR, Toiyabe National forest supervisor’s office","Sarah Kulpa, Reno FWS Ecologist",From_Photograph,6/24/2023 7:00:00 PM,7/10/2023 4:10:24 PM,averymsigarroa,9/12/2023 3:38:24 PM,averymsigarroa,N/A,Central Basin and Range,1498,N,,,,-119.659653590498,39.5730180265816
13,acfcbca3-27d5-48d0-a96b-b6814ab80a98,No,,Y,Y,FWS0800,45,FWS0800-45,,7/3/2023 12:00:00 AM,7/3/2023 7:00:00 AM,N,,,,"Sigarroa, A., Heston, S., Barrett, J., Faig, K.",Elymus elymoides,ELEL5,FWS0800-45-ELEL5,10000,5,5,"P,G",2,"Population in multiple stages of seed, most of the population is putting out seed and ready to be collected. Will likely collect 1/5 of every plant. ",39.5737957635413,-119.660138612544,119,39,39,34,36.499005159485,25.664748748776,39°34'25.66474874877599 N,119°39'36.49900515948502 E,Geopoint,WGS84,4919.09059349675,BLM Land,Pah Rah Range,About 3 miles in heading South on a dirt road from Golden Eagle Regional Park ,Nevada,Washoe,,"20-25, 6-12",BLM,,,"BRTE,ACHY,ERNA10,TACA8,SALSO","Grazed,Burned,Invasives",,"Canyon,Footslope","Recreation,Multiple_Use",,-8,NE,Sandy_Loam,10YR 3/2,,,,"Sarah Kulpa, Reno FWS Ecologist ",In_Field,6/24/2023 7:00:00 PM,7/10/2023 4:10:24 PM,averymsigarroa,9/11/2023 10:58:35 PM,averymsigarroa,,13,1499,N,,,,-119.660138612544,39.5737957635413
