"Catalog Number","Additional Identifier Values","Collector","Associated Collectors","Number","Date","Verbatim Date","Year","Month","Day","Day of year range","Scientific Name","Author","Identification Qualifier","Family","Identified By","Date Identified","ID References","ID Remarks","Taxon Remarks","Country","State/Province","Muncipality","Locality","Location ID","Locality Security","Latitude","Longitude","Uncertainty (meters)","Datum","Verbatim Coordinates","Elevation in Meters","Verbatim Elevation","Depth in Meters","Verbatim Depth","Georeferenced By","Georeference Protocol","Georeference Sources","Georef Verification Status","Georeference Remarks","Habitat","Substrate","Associated Taxa","Description","Notes","Dynamic Properties","Life Stage","Sex","Individual Count","Sampling Protocol","Preparations","Phenology","Establishment Means","Cultivated Checkbox","Type Status","Disposition","Occurrence Id","Field Number","Owner Code","Basis of Record","Language","Processing Status","Label Project","Duplicate Quantity"
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2833,2023-06-08,"06.08.2023",2023,6,8,NA,"Elymus elymoides (Raf.) Swezey","(Raf.) Swezey",NA,"Poaceae","RCB",2023-06-15,"Flora of the PNW",NA,NA,"U.S.A.","Oregon",NA,"0.8mi at 181° from Sage Hen Hill rsvr.",NA,NA,43.5212,-119.2864,"+/- 5m'","WGS84",NA,"1,395","1,395",NA,NA,NA,NA,NA,NA,NA,"Gravelly sage flats",NA,"Artemisia arbuscula, Poa secunda, Elymus elymoides, Festuca idahoensis, Eriocoma thurberiana, Delphinium andersonii, Bromus tectorum, Trifolium macrocephalum, Collinsia parviflora, Blepharipappus scaber, Crepis acuminata, C. occidentalis, Lomatium sp., Nothocalais troximoides, Myosotis sp., Lithophragma sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2834,2023-06-08,"06.08.2023",2023,6,8,NA,"Poa secunda J. Presl","J. Presl",NA,"Poaceae","RCB",2023-06-15,"Flora of the PNW",NA,NA,"U.S.A.","Oregon",NA,"0.8mi at 181° from Sage Hen Hill rsvr.",NA,NA,43.5212,-119.2864,"+/- 5m'","WGS84",NA,"1,395","1,395",NA,NA,NA,NA,NA,NA,NA,"Gravelly sage flats",NA,"Artemisia arbuscula, Poa secunda, Elymus elymoides, Festuca idahoensis, Eriocoma thurberiana, Delphinium andersonii, Bromus tectorum, Trifolium macrocephalum, Collinsia parviflora, Blepharipappus scaber, Crepis acuminata, C. occidentalis, Lomatium sp., Nothocalais troximoides, Myosotis sp., Lithophragma sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2835,2023-06-08,"06.08.2023",2023,6,8,NA,"Nothocalais troximoides A. Gray","A. Gray",NA,"Asteraceae","RCB",2023-06-15,"Flora of the PNW",NA,NA,"U.S.A.","Oregon",NA,"0.8mi at 181° from Sage Hen Hill rsvr.",NA,NA,43.5212,-119.2864,"+/- 5m'","WGS84",NA,"1,395","1,395",NA,NA,NA,NA,NA,NA,NA,"Gravelly sage flats",NA,"Artemisia arbuscula, Poa secunda, Elymus elymoides, Festuca idahoensis, Eriocoma thurberiana, Delphinium andersonii, Bromus tectorum, Trifolium macrocephalum, Collinsia parviflora, Blepharipappus scaber, Crepis acuminata, C. occidentalis, Lomatium sp., Nothocalais troximoides, Myosotis sp., Lithophragma sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2836,2023-06-08,"06.08.2023",2023,6,8,NA,"Castilleja pilosa (S. Watson) Rydb. var. pilosa (S. Watson) Rydb.","(S. Watson) Rydb.",NA,"Orobanchaceae","RCB",2023-06-15,"Intermountain Flora",NA,NA,"U.S.A.","Oregon",NA,"0.8mi at 181° from Sage Hen Hill rsvr.",NA,NA,43.5212,-119.2864,"+/- 5m'","WGS84",NA,"1,395","1,395",NA,NA,NA,NA,NA,NA,NA,"Gravelly sage flats",NA,"Artemisia arbuscula, Poa secunda, Elymus elymoides, Festuca idahoensis, Eriocoma thurberiana, Delphinium andersonii, Bromus tectorum, Trifolium macrocephalum, Blepharipappus scaber, Crepis acuminata","Bracts creamy yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2837,2023-06-08,"06.08.2023",2023,6,8,NA,"Neoholmgrenia andina (Nutt.) W.L. Wagner & Hoch","(Nutt.) W.L. Wagner & Hoch",NA,"Onagraceae","RCB",2023-06-15,"Intermountain Flora",NA,NA,"U.S.A.","Oregon",NA,"0.8mi at 181° from Sage Hen Hill rsvr.",NA,NA,43.5212,-119.2864,"+/- 5m'","WGS84",NA,"1,395","1,395",NA,NA,NA,NA,NA,NA,NA,"Gravelly sage flats",NA,"Artemisia arbuscula, Poa secunda, Elymus elymoides, Festuca idahoensis, Eriocoma thurberiana, Delphinium andersonii, Bromus tectorum, Trifolium macrocephalum, Collinsia parviflora, Blepharipappus scaber, Crepis acuminata, C. occidentalis, Lomatium sp., Nothocalais troximoides, Myosotis sp., Lithophragma sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2838,2023-06-08,"06.08.2023",2023,6,8,NA,"Allium acuminatum Hook.","Hook.",NA,"Amaryllidaceae","RCB",2023-06-15,"Intermountain Flora",NA,NA,"U.S.A.","Oregon",NA,"0.8mi at 181° from Sage Hen Hill rsvr.",NA,NA,43.5212,-119.2864,"+/- 5m'","WGS84",NA,"1,395","1,395",NA,NA,NA,NA,NA,NA,NA,"Gravelly sage flats",NA,"Artemisia arbuscula, Poa secunda, Elymus elymoides, Festuca idahoensis, Eriocoma thurberiana, Delphinium andersonii, Bromus tectorum, Trifolium macrocephalum, Collinsia parviflora, Blepharipappus scaber, Crepis acuminata, C. occidentalis, Nothocalais troximoides, Myosotis sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2839,2023-06-08,"06.08.2023",2023,6,8,NA,"Eriocoma thurberiana (Piper) Romasch.","(Piper) Romasch.",NA,"Poaceae","RCB",2023-06-15,"Flora of the PNW",NA,NA,"U.S.A.","Oregon",NA,"1.2mi at 350° from Hay lk.",NA,NA,43.4902,-119.7907,"+/- 5m'","WGS84",NA,"1,400","1,400",NA,NA,NA,NA,NA,NA,NA,"Silty south facing sagebrush slopes",NA,"Artemisia tridentata ssp. wyomingensis, Poa secunda, Eriocoma thurberiana, Elymus elymoides, Ionactis alpina, Crepis acuminata, Phlox hoodii, Delphinium andersonii, Alyssum desertorum, Lewisia rediviva, Antennaria dimorpha, Eriogonum ovalifolium, Phlox longifolia, Bromus tectorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2840,2023-06-08,"06.08.2023",2023,6,8,NA,"Elymus elymoides (Raf.) Swezey","(Raf.) Swezey",NA,"Poaceae","RCB",2023-06-15,"Flora of the PNW",NA,NA,"U.S.A.","Oregon",NA,"1.2mi at 350° from Hay lk.",NA,NA,43.4902,-119.7907,"+/- 5m'","WGS84",NA,"1,400","1,400",NA,NA,NA,NA,NA,NA,NA,"Silty south facing sagebrush slopes",NA,"Artemisia tridentata ssp. wyomingensis, Poa secunda, Eriocoma thurberiana, Elymus elymoides, Ionactis alpina, Crepis acuminata, Phlox hoodii, Delphinium andersonii, Alyssum desertorum, Lewisia rediviva, Antennaria dimorpha, Eriogonum ovalifolium, Phlox longifolia, Bromus tectorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2841,2023-06-08,"06.08.2023",2023,6,8,NA,"Eriogonum ovalifolium Nutt. var. ovalifolium Nutt.","Nutt.",NA,"Polygonaceae","RCB",2023-06-15,"Intermountain Flora",NA,NA,"U.S.A.","Oregon",NA,"1.2mi at 350° from Hay lk.",NA,NA,43.4902,-119.7907,"+/- 5m'","WGS84",NA,"1,400","1,400",NA,NA,NA,NA,NA,NA,NA,"Silty south facing sagebrush slopes",NA,"Artemisia tridentata ssp. wyomingensis, Poa secunda, Eriocoma thurberiana, Elymus elymoides, Ionactis alpina, Crepis acuminata, Phlox hoodii, Delphinium andersonii, Alyssum desertorum, Lewisia rediviva, Antennaria dimorpha, Eriogonum ovalifolium, Phlox longifolia, Bromus tectorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
NA,NA,"Reed Clark Benkendorf","Linda Martin, Payton Lott",2842,2023-06-08,"06.08.2023",2023,6,8,NA,"Poa secunda J. Presl","J. Presl",NA,"Poaceae","RCB",2023-06-15,"Flora of the PNW",NA,NA,"U.S.A.","Oregon",NA,"1.2mi at 350° from Hay lk.",NA,NA,43.4902,-119.7907,"+/- 5m'","WGS84",NA,"1,400","1,400",NA,NA,NA,NA,NA,NA,NA,"Silty south facing sagebrush slopes",NA,"Artemisia tridentata ssp. wyomingensis, Poa secunda, Eriocoma thurberiana, Elymus elymoides, Ionactis alpina, Crepis acuminata, Phlox hoodii, Delphinium andersonii, Alyssum desertorum, Lewisia rediviva, Antennaria dimorpha, Eriogonum ovalifolium, Phlox longifolia, Bromus tectorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seeds of Success",NA
